tick_index,liquidity_net,liquidity_gross
-887220,5449609736093814712541,5449609736093814712541
-276300,124783033715063008,124783033715063008
-242640,2032338076661281779,2032338076661281779
-207240,37044841626005691,37044841626005691
-206220,1409245106840294,1409245106840294
-184260,18374877680188279985,18374877680188279985
-184200,29981724028632296,29981724028632296
-161160,37142801161535002,37142801161535002
-138180,569817848857151475402,569817848857151475402
-125220,10666729901899493,10666729901899493
-115140,50203999879587078404,50203999879587078404
-109440,5446169677498513,5446169677498513
-108180,1697591441129462185,1697591441129462185
-99000,15513467380194540,15513467380194540
-96360,117953969976944425,117953969976944425
-94740,79882970853774020,79882970853774020
-92100,12953838172308306042,12953838172308306042
-90900,10667228673780792,10667228673780792
-85200,126070068826827694,126070068826827694
-79320,9531640189102002747,9531640189102002747
-78600,10493149789482634,10493149789482634
-76020,5174637377268570177,5174637377268570177
-75660,5829565376902309138,5829565376902309138
-73140,6278624563360875,6278624563360875
-72780,21582858376383468841,21582858376383468841
-72420,35717457682629513651,35717457682629513651
-72180,453445181373318752155,453445181373318752155
-71520,74089922034489641560,74089922034489641560
-71040,49747953341422153134,49747953341422153134
-70920,890839842339437,890839842339437
-70500,197280367629675,197280367629675
-70200,1585649371869352596,1585649371869352596
-70080,363595281583209859533,363595281583209859533
-69780,6692008418365418628,6692008418365418628
-69480,384037601348480,384037601348480
-69300,133188146685505400,133188146685505400
-69120,108998710135924742919,108998710135924742919
-69060,358147274734245603699,358147274734245603699
-69000,1655289795957692994773,1655289795957692994773
-68820,79655984280833677646,79655984280833677646
-68760,1930171630343888134107,1930171630343888134107
-68640,1614073758433869884,1614073758433869884
-68460,21086984168116796997,21086984168116796997
-68340,6190211821609936063,6190211821609936063
-68280,18379558460404592,18379558460404592
-68100,6993006856812517,6993006856812517
-68040,8047297280799346076,8047297280799346076
-67860,461228192109609385961,461228192109609385961
-67800,127139409511076881,127139409511076881
-67740,305239224816799288,305239224816799288
-67680,2598464746938210479,2598464746938210479
-67620,64167438511438307,64167438511438307
-67560,130910153875099477746,130910153875099477746
-67500,1852360381301275151,1852360381301275151
-67440,1561543279079682766,1561543279079682766
-67380,11621727508655203510,11621727508655203510
-67260,647899026963489431957,647899026963489431957
-67200,18145331996439639480,18145331996439639480
-67080,7422639623763021,7422639623763021
-67020,35710555986952885,35710555986952885
-66900,456892615770781743490,456892615770781743490
-66840,31893972312709934965,31893972312709934965
-66780,34524867236942443593,34524867236942443593
-66720,53253712562143692805,53253712562143692805
-66600,127148655446242051124,127148655446242051124
-66540,693464761507823,693464761507823
-66480,3123355036394302551382,3123355036394302551382
-66420,77250686918374699,77250686918374699
-66360,777753361978779830242,777753361978779830242
-66300,182680182033977875009,182680182033977875009
-66240,39392647691689866545,39392647691689866545
-66180,204843947794035083276,204843947794035083276
-66120,221308243062254967478,221308243062254967478
-66060,653450302143152714,653450302143152714
-66000,203700144682753002980,203700144682753002980
-65940,4849772064001328364,4849772064001328364
-65880,141666282498069937705,141666282498069937705
-65820,155267342427910089593,155267342427910089593
-65760,33600262872210870052,33600262872210870052
-65700,1589539962928599009019,1589539962928599009019
-65640,388039796115977579089,388039796115977579089
-65580,1776090137654543540995,1776090137654543540995
-65520,555356474573700191550,555356474573700191550
-65460,195425329630570496468,195425329630570496468
-65400,756917419967799193978,756917419967799193978
-65340,70862188355970922090,70862188355970922090
-65280,126767948110285193374,126767948110285193374
-65220,1898965633924079298423,1898965633924079298423
-65160,162670474043620313411,162670474043620313411
-65100,2256502840206700047821,2256502840206700047821
-65040,17794548138991758670337,17794548138991758670337
-64980,679510726631108069,679510726631108069
-64920,4366848797111925171,4366848797111925171
-64860,2075934529757818445546,2075934529757818445546
-64800,38468382354600696067998,38468382354600696067998
-64740,2942150574674892130890,2942150574674892130890
-64680,159516192427211990169,159516192427211990169
-64620,1297003094394723969918,1297003094394723969918
-64560,36698776901831768240,36698776901831768240
-64500,21063780962835676298395,21063780962835676298395
-64440,1562429243941066647553,1562429243941066647553
-64380,1284200489786568040962,1284200489786568040962
-64320,522164448615905788695,522164448615905788695
-64260,303801527742131820561,303801527742131820561
-64200,5858730586904203525,5858730586904203525
-64140,31274779392017748275207,31274779392017748275207
-64080,19776545274986321284,19776545274986321284
-64020,226676638293808186635,226676638293808186635
